,Unnamed: 0,index,Year Built,lat,lng
101075,101075,101076,1939,61.215842833153,-149.872880144645
101080,101080,101081,1940,61.214334317967,-149.880589281254
101083,101083,101084,1940,61.215413073714,-149.881407634382
101086,101086,101087,1940,61.215457372766,-149.881044680446
101262,101262,101263,1939,61.21203867326,-149.873069886144
101273,101273,101274,1940,61.213540164414,-149.873957968973
101274,101274,101275,1940,61.213540247003,-149.873652943591
101275,101275,101276,1939,61.213540308408,-149.873416758506
101288,101288,101289,1939,61.212727758479,-149.876240950229
101299,101299,101300,1940,61.213536518538,-149.877667039482
101313,101313,101314,1940,61.212309739939,-149.879376425214
101340,101340,101341,1939,61.212062279834,-149.881146919493
101635,101635,101636,1940,61.210755980867,-149.884180606897
101637,101637,101638,1939,61.211028338389,-149.884728918875
101653,101653,101654,1940,61.211567248313,-149.888535647352
101657,101657,101658,1925,61.211425059537,-149.887546062172
101658,101658,101659,1936,61.211534057883,-149.887545673456
101660,101660,101661,1940,61.211566753947,-149.885705097194
101665,101665,101666,1938,61.211321583008,-149.891262904878
101668,101668,101669,1940,61.211736684881,-149.884181082656
101673,101673,101674,1940,61.212008476671,-149.887542813161
101690,101690,101691,1940,61.212553055232,-149.888544339768
101692,101692,101693,1940,61.212551913491,-149.887975677072
101725,101725,101726,1936,61.210587286034,-149.8922395277
101737,101737,101738,1938,61.211213718946,-149.89330676708
101742,101742,101743,1940,61.211220216758,-149.893669874901
101745,101745,101746,1940,61.210760680843,-149.894300726069
101747,101747,101748,1939,61.210390893665,-149.893669370567
101750,101750,101751,1940,61.210144997331,-149.893695142152
101771,101771,101772,1940,61.211223466343,-149.895711641943
101794,101794,101795,1940,61.211814183496,-149.897387602135
101797,101797,101798,1930,61.211484393165,-149.895711987024
101799,101799,101800,1940,61.212486795326,-149.895712443381
101863,101863,101864,1940,61.207050446952,-149.893668032437
101864,101864,101865,1940,61.206878389384,-149.893666440633
101873,101873,101874,1940,61.206884269827,-149.895337902713
101880,101880,101881,1940,61.206313464921,-149.895336405862
101897,101897,101898,1940,61.20861454532,-149.894619361492
101909,101909,101910,1934,61.209139459078,-149.893665843323
101925,101925,101926,1940,61.209411980249,-149.895343805085
101930,101930,101931,1940,61.209542108713,-149.89570967659
101933,101933,101934,1940,61.209138031701,-149.895704995813
101936,101936,101937,1940,61.208283394208,-149.895709041428
101937,101937,101938,1938,61.208151969145,-149.89570881821
101966,101966,101967,1940,61.208996458783,-149.897390628783
101968,101968,101969,1940,61.209302019298,-149.897380265802
102500,102500,102501,1940,61.218453850391,-149.843331245665
102530,102530,102531,1940,61.21424065556,-149.865066352799
102638,102638,102639,1937,61.211564127194,-149.862077071922
102680,102680,102681,1940,61.212549394065,-149.864597633856
102755,102755,102756,1940,61.206868787172,-149.858961305348
103628,103628,103629,1940,61.197918382851,-149.863442451815
103798,103798,103799,1937,61.192996541185,-149.855610740144
104936,104936,104937,1939,61.225163412572,-149.81760914544
104981,104981,104982,1940,61.226044629588,-149.818378140755
105130,105130,105131,1937,61.22872150685,-149.814193406283
106957,106957,106958,1940,61.226222758278,-149.806338010698
107011,107011,107012,1928,61.220627426683,-149.799767154613
109855,109855,109856,1940,61.21018556358734,-149.919839811376
123696,123696,123697,1935,61.151516959503,-149.8385952335
124613,124613,124614,1940,61.211815159892254,-149.897752947521
125178,125178,125179,1939,61.138213659235,-149.83616529526
125452,125452,125453,1940,61.140729233928,-149.805936025027
126356,126356,126357,1935,61.142031312132,-149.793885638896
128088,128088,128089,1936,61.110029068215,-149.780899670628
129434,129434,129435,1940,61.20954210871304,-149.89570967659
130970,130970,130971,1938,61.114726317721,-149.837927478068
137964,137964,137965,1938,61.087200623721,-149.835444437416
146500,146500,146501,1930,61.305351441255,-149.460532114866
147080,147080,147081,1940,61.283468358905,-149.493727215165
150441,150441,150442,1936,61.354558794405,-149.538608387585
150478,150478,150479,1940,61.2100992386897,-149.914090771804
153513,153513,153514,1939,61.2151775056835,-149.90561163836102
154889,154889,154890,1935,61.2162822161104,-149.899772386113
155449,155449,155450,1939,61.2123538424028,-149.899431610497
155588,155588,155589,1940,61.21236521276485,-149.911695552779
155654,155654,155655,1940,61.20896921108073,-149.899425130042
155660,155660,155661,1940,61.20688166262602,-149.89942006006402
155668,155668,155669,1930,61.20729149089221,-149.899784446172
155673,155673,155674,1940,61.20652329039482,-149.89978687010998
156843,156843,156845,1936,61.1970448737378,-149.928048258163
157294,157294,157296,1940,61.22767835021864,-149.886932919499
157403,157403,157405,1936,61.22061500840808,-149.892652840479
157404,157404,157406,1930,61.22091978397123,-149.89363982271303
157471,157471,157473,1940,61.2169977028464,-149.873243835094
157472,157472,157474,1940,61.216803836690616,-149.873250372178
157478,157478,157480,1939,61.219252536363385,-149.873097879785
157484,157484,157486,1939,61.21866616607084,-149.881854959685
157548,157548,157550,1939,61.21584283315256,-149.872880144645
157552,157552,157554,1940,61.214334317966745,-149.880589281254
157554,157554,157556,1940,61.21541307371383,-149.881407634382
157691,157691,157693,1939,61.21203867326009,-149.873069886144
157700,157700,157702,1940,61.213540164414354,-149.873957968973
157701,157701,157703,1940,61.21354024700303,-149.873652943591
157702,157702,157704,1939,61.213540308407616,-149.873416758506
157722,157722,157724,1940,61.21353651853844,-149.877667039482
157730,157730,157732,1940,61.21230973993946,-149.879376425214
157745,157745,157747,1939,61.21206227983407,-149.881146919493
157986,157986,157988,1940,61.21075598086678,-149.88418060689702
157988,157988,157990,1939,61.21102833838949,-149.884728918875
158004,158004,158006,1925,61.21142505953728,-149.88754606217202
158005,158005,158007,1936,61.21153405788271,-149.887545673456
158006,158006,158008,1940,61.21156675394699,-149.885705097194
158009,158009,158011,1938,61.21132158300796,-149.891262904878
158014,158014,158016,1940,61.21200847667076,-149.88754281316102
158030,158030,158032,1940,61.21255305523163,-149.888544339768
158032,158032,158034,1940,61.2125519134906,-149.887975677072
158058,158058,158060,1936,61.21058728603353,-149.8922395277
158067,158067,158069,1938,61.21121371894604,-149.89330676708
158072,158072,158074,1940,61.21076068084262,-149.89430072606902
158073,158073,158075,1939,61.21039089366524,-149.893669370567
158075,158075,158077,1940,61.21014499733055,-149.893695142152
158114,158114,158116,1940,61.21181418349568,-149.89738760213498
158163,158163,158165,1940,61.207050446952486,-149.893668032437
158173,158173,158176,1940,61.206313464921344,-149.89533640586205
158186,158186,158189,1940,61.20861454531967,-149.894619361492
158209,158209,158212,1940,61.20954210871304,-149.89570967659
158212,158212,158215,1940,61.20913803170088,-149.895704995813
158214,158214,158217,1938,61.20815196914516,-149.89570881821
158241,158241,158244,1940,61.20899645878319,-149.897390628783
158243,158243,158246,1940,61.20930201929772,-149.89738026580198
158683,158683,158686,1940,61.21845385039066,-149.84333124566498
158711,158711,158714,1940,61.214240655559934,-149.865066352799
158826,158826,158829,1940,61.21254939406536,-149.86459763385602
158883,158883,158886,1940,61.20686878717218,-149.858961305348
159394,159394,159397,1940,61.212486795326,-149.895712443381
159598,159598,159601,1940,61.197918382851405,-149.86344245181502
159735,159735,159738,1937,61.192996541184925,-149.85561074014402
160667,160667,160671,1939,61.225163412572485,-149.81760914544
160705,160705,160709,1940,61.22604462958844,-149.818378140755
160822,160822,160826,1937,61.22872150684978,-149.814193406283
162075,162075,162080,1940,61.22622275827824,-149.806338010698
164289,164289,164294,1940,61.20686314350712,-149.895294248682
164779,164779,164784,1936,61.21653765573331,-149.735934938126
169203,169203,169215,1940,61.21541307371384,-149.881407634382
169459,169459,169471,1940,61.18182382467162,-149.76766101171302
174075,174075,174089,1940,61.18474560445418,-149.916903913944
175425,175425,175443,1940,61.21075598086678,-149.88418060689702
175478,175478,175496,1939,61.21102833838949,-149.884728918875
176779,176779,176797,1940,61.2115672483128,-149.888535647352
176931,176931,176950,1925,61.21142505953728,-149.88754606217202
176957,176957,176976,1936,61.2115340578827,-149.887545673456
177636,177636,177656,1940,61.21156675394699,-149.885705097194
178190,178190,178210,1938,61.21132158300795,-149.891262904878
178479,178479,178499,1940,61.211736684881295,-149.884181082656
178840,178840,178860,1940,61.21200847667076,-149.88754281316102
180540,180540,180560,1940,61.21255305523163,-149.888544339768
180662,180662,180682,1940,61.212551913490586,-149.887975677072
182963,182963,182985,1931,61.21504418945854,-149.905948353402
183761,183761,183783,1936,61.21058728603353,-149.8922395277
184848,184848,184870,1940,61.211220216758015,-149.893669874901
184975,184975,184997,1940,61.21076068084262,-149.89430072606902
184996,184996,185018,1940,61.210518212597,-149.893669582124
185022,185022,185044,1939,61.21039089366521,-149.893669370567
185036,185036,185058,1940,61.21014499733054,-149.893695142152
186057,186057,186079,1935,61.151516959503205,-149.8385952335
186213,186213,186235,1940,61.211223466343405,-149.895711641943
187118,187118,187140,1939,61.13821365923488,-149.83616529526
187221,187221,187244,1940,61.14072923392798,-149.805936025027
187235,187235,187258,1940,61.21181418349568,-149.89738760213498
187386,187386,187409,1930,61.21148439316525,-149.895711987024
188513,188513,188537,1936,61.11002906821491,-149.780899670628
189978,189978,190003,1940,61.206878389383554,-149.893666440633
190240,190240,190265,1938,61.11472631772085,-149.83792747806802
191263,191263,191290,1940,61.20913803170085,-149.895704995813
192952,192952,192980,1940,61.214240655559934,-149.865066352799
194604,194604,194632,1938,61.08736920457174,-149.837307939814
195467,195467,195497,1937,61.192996541184925,-149.85561074014402
196979,196979,197010,1940,61.21018556358734,-149.919839811376
196987,196987,197018,1940,61.211815159892254,-149.897752947521
197309,197309,197342,1939,61.22516341257248,-149.81760914544
197354,197354,197387,1940,61.22604462958844,-149.818378140755
197510,197510,197543,1937,61.22872150684977,-149.814193406283
197697,197697,197730,1939,61.2123538424028,-149.899431610497
197780,197780,197813,1940,61.22128400530724,-149.893661996148
197953,197953,197986,1940,61.21018556358734,-149.919839811376
198014,198014,198047,1940,61.211815159892254,-149.897752947521
198801,198801,198834,1940,61.20828339420805,-149.895709041428
198909,198909,198942,1934,61.20913945907759,-149.89366584332302
199001,199001,199034,1930,61.21148439316525,-149.895711987024
199022,199022,199055,1939,61.219252536363385,-149.873097879785
199326,199326,199359,1935,61.212923283539865,-149.876220422176
199419,199419,199452,1940,61.22622275827826,-149.806338010698
199474,199474,199507,1928,61.22062742668267,-149.799767154613
205840,205840,205885,1930,61.30535144125461,-149.460532114866
206299,206299,206346,1940,61.28346835890483,-149.49372721516502
211799,211799,211857,1940,61.21236521276485,-149.911695552779
211979,211979,212037,1940,61.211908033632206,-149.910402640239
212169,212169,212227,1938,61.210734510006986,-149.909995970513
213046,213046,213104,1940,61.20896921108071,-149.899425130042
213095,213095,213153,1940,61.20688166262602,-149.89942006006402
213250,213250,213308,1930,61.20729149089221,-149.899784446172
213306,213306,213364,1940,61.20652329039482,-149.89978687010998
214574,214574,214632,1940,61.2100992386897,-149.914090771804
214698,214698,214756,1936,61.21653765573331,-149.735934938126
215169,215169,215227,1940,61.211815159892254,-149.897752947521
217047,217047,217105,1940,61.211815159892254,-149.897752947521
217456,217456,217514,1939,61.2123538424028,-149.899431610497
218057,218057,218115,1935,61.21488917949711,-149.905611066482
218076,218076,218134,1928,61.22062742668267,-149.799767154613
218126,218126,218184,1939,61.21039089366521,-149.893669370567
219086,219086,219148,1939,61.21157834304685,-149.91562396526
223860,223860,223936,1940,61.18182382467162,-149.76766101171302
224318,224318,224394,1939,61.21203867326009,-149.873069886144
225298,225298,225378,1940,61.21236521276485,-149.911695552779
226393,226393,226479,1940,61.210518212597,-149.893669582124
227088,227088,227176,1937,61.21469244531528,-149.906538011361
227137,227137,227225,1940,61.20896921108071,-149.899425130042
227726,227726,227822,1940,61.215457372766224,-149.881044680446
228303,228303,228410,1940,61.21075598086678,-149.88418060689702
231841,231841,231950,1938,61.210734510006986,-149.909995970513
232304,232304,232413,1940,61.21533184354,-149.881045154072
234755,234755,234867,1940,61.20899645878319,-149.897390628783
235010,235010,235122,1939,61.21666588101486,-149.873709354969
235371,235371,235484,1936,61.19704487373778,-149.928048258163
236172,236172,236285,1940,61.18474560445418,-149.916903913944
237684,237684,237797,1940,61.211908033632206,-149.910402640239
237963,237963,238076,1940,61.183334285189886,-149.916442114621
238032,238032,238145,1940,61.211736684881295,-149.884181082656
239914,239914,240031,1938,61.210734510006986,-149.909995970513
240908,240908,241026,1936,61.22061500840808,-149.892652840479
242233,242233,242353,1940,61.22767835021864,-149.886932919499
243881,243881,244002,1936,61.22061500840808,-149.892652840479
243887,243887,244008,1940,61.22128400530724,-149.893661996148
245109,245109,245241,1940,61.21699770284642,-149.873243835094
245123,245123,245255,1940,61.216803836690616,-149.873250372178
245178,245178,245310,1939,61.21666588101486,-149.873709354969
246133,246133,246269,1939,61.21584283315256,-149.872880144645
246178,246178,246314,1940,61.214334317966745,-149.880589281254
246208,246208,246344,1940,61.21545737276621,-149.881044680446
247524,247524,247669,1940,61.20688166262602,-149.89942006006402
248558,248558,248704,1940,61.213540164414354,-149.873957968973
248576,248576,248722,1940,61.21354024700305,-149.873652943591
248577,248577,248723,1939,61.2135403084076,-149.873416758506
248605,248605,248751,1930,61.20729149089221,-149.899784446172
248751,248751,248897,1939,61.21272903069529,-149.876282347839
249051,249051,249199,1940,61.21353651853844,-149.877667039482
249260,249260,249408,1940,61.21230973993946,-149.879376425214
249700,249700,249848,1940,61.20652329039482,-149.89978687010998
249773,249773,249921,1939,61.21206227983406,-149.881146919493
253306,253306,253465,1940,61.18333428518989,-149.916442114621
253492,253492,253653,1934,61.20913945907759,-149.89366584332302
253575,253575,253736,1939,61.21666588101486,-149.873709354969
253611,253611,253772,1940,61.206313464921344,-149.89533640586205
253789,253789,253950,1940,61.208614545319655,-149.894619361492
253837,253837,253998,1934,61.20913945907759,-149.89366584332302
254011,254011,254173,1940,61.20941198024855,-149.89534380508502
254086,254086,254249,1940,61.20954210871304,-149.89570967659
254526,254526,254691,1940,61.20923482115448,-149.897385293607
256811,256811,256986,1936,61.21058728603353,-149.8922395277
257201,257201,257376,1930,61.21148439316525,-149.895711987024
260607,260607,260796,1940,61.21845385039066,-149.84333124566498
262071,262071,262264,1937,61.21156412719433,-149.862077071922
262693,262693,262890,1940,61.21254939406536,-149.86459763385602
263098,263098,263295,1935,61.21488917949711,-149.905611066482
263753,263753,263952,1940,61.20686878717218,-149.858961305348
264218,264218,264418,1935,61.151516959503205,-149.8385952335
266284,266284,266487,1939,61.13821365923488,-149.83616529526
266692,266692,266896,1940,61.14072923392798,-149.805936025027
270538,270538,270751,1936,61.110029068214885,-149.780899670628
275481,275481,275706,1938,61.11472631772085,-149.83792747806802
277474,277474,277706,1940,61.21190803363221,-149.910402640239
277920,277920,278153,1940,61.2115672483128,-149.888535647352
277927,277927,278160,1940,61.211736684881295,-149.884181082656
278674,278674,278908,1940,61.19791838285139,-149.86344245181502
279213,279213,279451,1940,61.20687838938357,-149.893666440633
283005,283005,283270,1940,61.211220216758,-149.893669874901
283047,283047,283312,1938,61.211321583008,-149.891262904878
283345,283345,283611,1940,61.209542108713,-149.89570967659
288215,288215,288494,1940,61.22767835021864,-149.886932919499
290502,290502,290802,1930,61.21530383045585,-149.90998608599398
290655,290655,290955,1940,61.20705044695247,-149.893668032437
290730,290730,291030,1940,61.206878389383554,-149.893666440633
290820,290820,291120,1940,61.2115672483128,-149.888535647352
290983,290983,291283,1940,61.182112771693,-149.76747797731
292187,292187,292500,1940,61.206313464921344,-149.89533640586205
292564,292564,292877,1940,61.211223466343405,-149.895711641943
294133,294133,294448,1925,61.21142505953728,-149.88754606217202
294310,294310,294625,1936,61.2115340578827,-149.887545673456
294465,294465,294780,1938,61.21128125260543,-149.890888536354
294919,294919,295234,1940,61.18474560445418,-149.916903913944
295211,295211,295527,1940,61.20941198024855,-149.89534380508502
295409,295409,295725,1940,61.21200847667076,-149.88754281316102
295867,295867,296186,1940,61.20913803170088,-149.895704995813
295939,295939,296259,1940,61.20828339420805,-149.895709041428
295992,295992,296312,1938,61.20815196914516,-149.89570881821
296355,296355,296677,1940,61.212551913490586,-149.887975677072
296823,296823,297146,1940,61.19791838285139,-149.86344245181502
297552,297552,297876,1935,61.142031312131614,-149.793885638896
298411,298411,298737,1939,61.2151775056835,-149.90561163836102
298435,298435,298761,1940,61.2100992386897,-149.914090771804
298514,298514,298842,1936,61.21653765573331,-149.735934938126
298770,298770,299105,1939,61.2129109722442,-149.87626400169802
298907,298907,299242,1940,61.18339397816879,-149.916202900784
298968,298968,299305,1937,61.21156412719434,-149.862077071922
300696,300696,301046,1940,61.21699770284642,-149.873243835094
300722,300722,301072,1940,61.216803836690616,-149.873250372178
301166,301166,301518,1940,61.20930201929772,-149.89738026580198
303444,303444,303815,1939,61.21866616607083,-149.881854959685
304186,304186,304566,1939,61.21102833838949,-149.884728918875
307270,307270,307685,1940,61.214240655559934,-149.865066352799
307593,307593,308008,1936,61.19704487373778,-149.928048258163
308661,308661,309077,1940,61.21255305523163,-149.888544339768
310963,310963,311381,1940,61.210518212597,-149.893669582124
311584,311584,312006,1938,61.21702192445932,-149.905899024134
313432,313432,313861,1930,61.21530383045585,-149.90998608599398
313787,313787,314219,1940,61.21122021675804,-149.893669874901
313789,313789,314221,1940,61.20941198024855,-149.89534380508502
315046,315046,315488,1940,61.211223466343405,-149.895711641943
315507,315507,315951,1936,61.3545587944046,-149.538608387585
315827,315827,316275,1939,61.21584283315256,-149.872880144645
316027,316027,316475,1940,61.211220216758015,-149.893669874901
316153,316153,316601,1940,61.21076068084262,-149.89430072606902
317107,317107,317557,1940,61.21181418349568,-149.89738760213498
317115,317115,317565,1940,61.18474560445418,-149.916903913944
318369,318369,318819,1940,61.183393978168766,-149.916202900784
318506,318506,318956,1940,61.214334317966745,-149.880589281254
318563,318563,319013,1937,61.192996541184925,-149.85561074014402
318796,318796,319246,1940,61.21541307371384,-149.881407634382
318881,318881,319331,1940,61.21545737276621,-149.881044680446
320271,320271,320724,1936,61.22061500840808,-149.892652840479
320280,320280,320733,1940,61.22128400530724,-149.893661996148
320573,320573,321027,1940,61.20899645878319,-149.897390628783
326036,326036,326506,1930,61.305351441254594,-149.460532114866
326565,326565,327038,1940,61.28346835890483,-149.49372721516502
335621,335621,336132,1939,61.21203867326009,-149.873069886144
335883,335883,336395,1940,61.213540164414354,-149.873957968973
335891,335891,336403,1940,61.21354024700305,-149.873652943591
335892,335892,336404,1939,61.2135403084076,-149.873416758506
336148,336148,336663,1939,61.21272903069529,-149.876282347839
336149,336149,336664,1935,61.212923283539865,-149.876220422176
336327,336327,336842,1940,61.21353651853844,-149.877667039482
336543,336543,337059,1936,61.110029068214885,-149.780899670628
336689,336689,337205,1940,61.21230973993946,-149.879376425214
337135,337135,337651,1939,61.21206227983406,-149.881146919493
338101,338101,338618,1937,61.2146924453153,-149.906538011361
338116,338116,338633,1931,61.21504418945854,-149.905948353402
338351,338351,338870,1940,61.22767835021864,-149.886932919499
339945,339945,340474,1940,61.21156675394699,-149.885705097194
340000,340000,340533,1938,61.211213718946034,-149.89330676708
340998,340998,341532,1940,61.21845385039066,-149.84333124566498
341726,341726,342260,1937,61.21156412719433,-149.862077071922
344466,344466,345003,1940,61.20686878717218,-149.858961305348
349352,349352,349898,1940,61.19791838285139,-149.86344245181502
349877,349877,350427,1935,61.21488917949711,-149.905611066482
350013,350013,350563,1939,61.2151775056835,-149.90561163836102
351319,351319,351871,1940,61.214696306596814,-149.90101765136302
351404,351404,351956,1935,61.2162822161104,-149.899772386113
352930,352930,353486,1935,61.142031312131614,-149.793885638896
356842,356842,357400,1940,61.22604462958844,-149.818378140755
357553,357553,358111,1937,61.22872150684977,-149.814193406283
359101,359101,359663,1930,61.22091978397123,-149.89363982271303
359115,359115,359677,1940,61.22128400530724,-149.893661996148
359295,359295,359857,1940,61.18211277169335,-149.76747797731
