,Year Built,lat,lng
6557,1992,61.18703632614,-149.859329944721
6584,1993,61.185611494145,-149.857737017729
6662,1997,61.184914111033,-149.840436427632
6663,1997,61.184761371546,-149.840435516647
6664,1998,61.18461183428,-149.84043131411
6711,1999,61.186486751484,-149.844533960168
6723,1996,61.186986924482,-149.845027832368
6729,1998,61.18461914976,-149.840069903626
6730,1998,61.184741735132,-149.840070971273
6731,1998,61.184861918629,-149.840072011428
6732,1998,61.184956472214,-149.840072835762
6733,1998,61.185046197447,-149.84007361656
6734,1998,61.185140761964,-149.84007443518
6735,1998,61.185235296396,-149.840075259624
6736,1998,61.185334645494,-149.840076122017
7080,1998,61.224974004034,-149.818454509478
7096,1996,61.224973632596,-149.818175282951
7097,1996,61.224973252383,-149.817891988223
7106,1991,61.224976525227,-149.820785468895
7131,1996,61.22694764219,-149.819936690904
7170,1998,61.116223651838,-149.854483135191
7245,1996,61.228329267026,-149.808580202187
7422,1998,61.11622365183846,-149.854483135191
7531,1991,61.209385910688,-149.812173510763
7618,1995,61.208048471275,-149.816156761742
7840,1999,61.204158084109,-149.818791874801
8756,1999,61.227915991095,-149.796988732619
8831,1999,61.230555146746,-149.800731781624
8833,1997,61.231103474527,-149.800733744781
8890,1994,61.227851438967,-149.803910124042
9061,1999,61.226245818256,-149.802570444694
9063,1997,61.226522991822,-149.802570762292
9094,1990,61.224737056645,-149.802948026953
9169,1998,61.220962819998,-149.798849799661
9503,1999,61.219471315496,-149.806149813173
9710,1999,61.210217680554,-149.795870773422
9711,1999,61.210217680554,-149.795870773422
9712,1999,61.210217680554,-149.795870773422
9713,1999,61.210217680554,-149.795870773422
9714,1999,61.210217290616,-149.796324381396
9715,1999,61.210217290616,-149.796324381396
9716,1999,61.210217290616,-149.796324381396
9717,1999,61.210217290616,-149.796324381396
9718,1999,61.210217074578,-149.796780041258
9719,1999,61.210217074578,-149.796780041258
9720,1999,61.210217074578,-149.796780041258
9721,1999,61.210217074578,-149.796780041258
9722,1994,61.210383881152,-149.795044711106
9723,1994,61.21061195685,-149.795048298969
9724,1995,61.210817245435,-149.795050225789
9725,1995,61.211020981492,-149.795051192897
9726,1995,61.211226864981,-149.795052168744
9727,1995,61.211433134176,-149.795053142094
9728,1996,61.211638527981,-149.795054115472
9729,1995,61.211845273166,-149.795055097092
9730,1997,61.212049750533,-149.795056065104
9731,1997,61.212260164133,-149.795057062603
9732,1997,61.212701051407,-149.795059148449
9733,1998,61.212923050222,-149.795060201132
9734,1997,61.213139886968,-149.795061230661
9735,1997,61.213125592899,-149.793605825916
9736,1996,61.212908174348,-149.79360538306
9737,1996,61.212685867308,-149.793604932503
9738,1997,61.212465215292,-149.793604488131
9739,1995,61.212245843513,-149.793604041054
9740,1997,61.212034569047,-149.793603609039
9741,1997,61.211829846303,-149.793603196529
9742,1997,61.211623788442,-149.793602685001
9743,1997,61.211418258406,-149.793602084949
9744,1997,61.211212104857,-149.793601619428
9745,1995,61.210802355883,-149.793600938211
9746,1994,61.210597507379,-149.79360060027
9747,1994,61.210384687373,-149.793600240779
10277,1994,61.188383404803,-149.781556950002
10278,1993,61.18830774017,-149.781872043246
10283,1997,61.188303024354,-149.7833725053
10284,1994,61.188376280916,-149.783643194312
11488,1995,61.221069554997,-149.753029964328
11500,1998,61.222497246358,-149.749372412387
11501,1998,61.22263411746,-149.74936617239
11502,1998,61.222769707861,-149.749239860511
11503,1998,61.222858131099,-149.749286412656
11504,1998,61.222908589245,-149.74941392911
11505,1998,61.222909648864,-149.749635067736
11506,1998,61.222859271897,-149.749766193987
11507,1998,61.222760207772,-149.749811711246
11508,1998,61.222654158873,-149.749696698313
11509,1998,61.222497880682,-149.749675772789
11510,1999,61.222529236629,-149.751005748752
11512,1999,61.222763086757,-149.750870038142
11517,1998,61.222772644019,-149.751449357597
11518,1998,61.222662626914,-149.751335681024
11519,1998,61.222543553147,-149.751311968794
11521,1999,61.222780314433,-149.752536457976
11522,1999,61.222958804783,-149.752537774223
11531,1999,61.222597819152,-149.754171104793
